url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city)
http://zomato.com/72,Address 72,Restaurant 72,Yes,No,4.0/5,2916,9876543272,Koramangala 5th Block,Bakery,"Pasta, Pizza","Desserts, Fast Food",800,[],[],Other,Indiranagar
http://zomato.com/73,Address 73,Restaurant 73,No,Yes,3.4/5,2800,9876543273,Indiranagar,Delivery,"Pasta, Pizza","Mughlai, Desserts, Continental",3000,[],[],Other,Koramangala 5th Block
http://zomato.com/74,Address 74,Restaurant 74,Yes,Yes,3.9/5,1752,9876543274,HSR,Cafe,"Pasta, Pizza","Beverages, Chinese, Continental",2000,[],[],Dining,Whitefield
http://zomato.com/75,Address 75,Restaurant 75,No,Yes,4.7/5,2610,9876543275,BTM,Cafe,"Pasta, Pizza",North Indian,600,[],[],Cafes,HSR
http://zomato.com/76,Address 76,Restaurant 76,No,No,4.1/5,3875,9876543276,BTM,Dessert Parlor,"Pasta, Pizza",North Indian,600,[],[],Dining,HSR
http://zomato.com/77,Address 77,Restaurant 77,No,Yes,4.7/5,1104,9876543277,JP Nagar,Dessert Parlor,"Pasta, Pizza","Desserts, Beverages",3000,[],[],Cafes,Koramangala 5th Block
http://zomato.com/78,Address 78,Restaurant 78,Yes,No,4.6/5,2536,9876543278,HSR,Bakery,"Pasta, Pizza",Italian,800,[],[],Cafes,Marathahalli
http://zomato.com/79,Address 79,Restaurant 79,No,Yes,4.2/5,4990,9876543279,BTM,Dessert Parlor,"Pasta, Pizza","Fast Food, South Indian, Mughlai",800,[],[],Other,HSR
http://zomato.com/80,Address 80,Restaurant 80,Yes,Yes,4.4/5,4199,9876543280,HSR,Casual Dining,"Pasta, Pizza","Beverages, Italian",2000,[],[],Dining,Whitefield
http://zomato.com/81,Address 81,Restaurant 81,No,Yes,4.7/5,3854,9876543281,Marathahalli,Dessert Parlor,"Pasta, Pizza",Mexican,2000,[],[],Dining,BTM
http://zomato.com/82,Address 82,Restaurant 82,Yes,Yes,2.6/5,3494,9876543282,Whitefield,Casual Dining,"Pasta, Pizza",Desserts,600,[],[],Cafes,Jayanagar
http://zomato.com/83,Address 83,Restaurant 83,No,No,2.8/5,1914,9876543283,Indiranagar,Dessert Parlor,"Pasta, Pizza",South Indian,2000,[],[],Dining,Whitefield
http://zomato.com/84,Address 84,Restaurant 84,Yes,No,4.4/5,3072,9876543284,HSR,Bakery,"Pasta, Pizza",Continental,2000,[],[],Other,HSR
http://zomato.com/85,Address 85,Restaurant 85,Yes,Yes,4.5/5,1006,9876543285,Jayanagar,Bakery,"Pasta, Pizza","Mexican, Beverages",2000,[],[],Other,HSR
http://zomato.com/86,Address 86,Restaurant 86,No,Yes,3.8/5,406,9876543286,Koramangala 5th Block,Casual Dining,"Pasta, Pizza","Mughlai, Beverages",3000,[],[],Dining,JP Nagar
http://zomato.com/87,Address 87,Restaurant 87,Yes,No,NEW,166,9876543287,Jayanagar,Delivery,"Pasta, Pizza","South Indian, Chinese",1500,[],[],Dining,Indiranagar
http://zomato.com/88,Address 88,Restaurant 88,No,No,4.0/5,508,9876543288,BTM,Bakery,"Pasta, Pizza",Beverages,400,[],[],Other,Marathahalli
http://zomato.com/89,Address 89,Restaurant 89,No,No,4.1/5,1661,9876543289,Marathahalli,Delivery,"Pasta, Pizza","Mughlai, Mexican",2000,[],[],Dining,Whitefield
http://zomato.com/90,Address 90,Restaurant 90,No,No,4.1/5,3664,9876543290,Marathahalli,Cafe,"Pasta, Pizza",Beverages,400,[],[],Cafes,HSR
http://zomato.com/91,Address 91,Restaurant 91,No,Yes,4.4/5,3489,9876543291,Jayanagar,Casual Dining,"Pasta, Pizza","Beverages, Mexican, Fast Food",400,[],[],Dining,Marathahalli
http://zomato.com/92,Address 92,Restaurant 92,No,No,4.4/5,4858,9876543292,Indiranagar,Buffet,"Pasta, Pizza","Mexican, Desserts, Continental",800,[],[],Cafes,Koramangala 5th Block
http://zomato.com/93,Address 93,Restaurant 93,No,Yes,4.9/5,680,9876543293,Jayanagar,Bakery,"Pasta, Pizza","Fast Food, Mughlai, Beverages",2000,[],[],Dining,Koramangala 5th Block
http://zomato.com/94,Address 94,Restaurant 94,No,No,4.1/5,2524,9876543294,JP Nagar,Quick Service Restaurant,"Pasta, Pizza",Chinese,600,[],[],Dining,Whitefield
http://zomato.com/95,Address 95,Restaurant 95,No,No,2.8/5,2120,9876543295,BTM,Cafe,"Pasta, Pizza","Desserts, Italian, Mexican",1500,[],[],Other,JP Nagar
http://zomato.com/96,Address 96,Restaurant 96,No,No,4.2/5,4677,9876543296,BTM,Delivery,"Pasta, Pizza","Continental, Chinese",600,[],[],Cafes,HSR
http://zomato.com/97,Address 97,Restaurant 97,No,No,NEW,4357,9876543297,Jayanagar,Bakery,"Pasta, Pizza",Chinese,2000,[],[],Other,Whitefield
http://zomato.com/98,Address 98,Restaurant 98,No,No,4.3/5,1363,9876543298,Koramangala 5th Block,Casual Dining,"Pasta, Pizza",Continental,600,[],[],Dining,Jayanagar
http://zomato.com/99,Address 99,Restaurant 99,Yes,Yes,NEW,1331,9876543299,Koramangala 5th Block,Buffet,"Pasta, Pizza","Beverages, Fast Food, Continental",2000,[],[],Other,JP Nagar
http://zomato.com/100,Address 100,Restaurant 100,Yes,Yes,3.4/5,2292,987654320,BTM,Dessert Parlor,"Pasta, Pizza","Continental, Mughlai",1500,[],[],Dining,HSR
http://zomato.com/101,Address 101,Restaurant 101,No,No,2.6/5,1538,987654321,Whitefield,Buffet,"Pasta, Pizza","Desserts, Continental",200,[],[],Dining,HSR
http://zomato.com/102,Address 102,Restaurant 102,No,No,4.9/5,3408,987654322,Koramangala 5th Block,Quick Service Restaurant,"Pasta, Pizza","Chinese, Beverages",1500,[],[],Dining,Marathahalli
http://zomato.com/103,Address 103,Restaurant 103,No,Yes,4.4/5,560,987654323,Jayanagar,Delivery,"Pasta, Pizza","North Indian, Italian, South Indian",3000,[],[],Cafes,Whitefield
http://zomato.com/104,Address 104,Restaurant 104,No,No,4.4/5,1099,987654324,Koramangala 5th Block,Cafe,"Pasta, Pizza","Continental, Chinese",200,[],[],Cafes,HSR
http://zomato.com/105,Address 105,Restaurant 105,No,No,NEW,1903,987654325,BTM,Buffet,"Pasta, Pizza","South Indian, Mughlai, North Indian",1000,[],[],Cafes,Marathahalli
http://zomato.com/106,Address 106,Restaurant 106,No,Yes,NEW,174,987654326,Indiranagar,Casual Dining,"Pasta, Pizza","North Indian, Mughlai, Desserts",200,[],[],Other,HSR
http://zomato.com/107,Address 107,Restaurant 107,No,No,3.7/5,2156,987654327,HSR,Quick Service Restaurant,"Pasta, Pizza","Mexican, Chinese",400,[],[],Dining,Indiranagar
http://zomato.com/108,Address 108,Restaurant 108,No,No,4.2/5,2230,987654328,Koramangala 5th Block,Casual Dining,"Pasta, Pizza","Continental, Italian",3000,[],[],Other,JP Nagar
http://zomato.com/109,Address 109,Restaurant 109,Yes,Yes,3.2/5,4287,987654329,JP Nagar,Bakery,"Pasta, Pizza","North Indian, Chinese, Mexican",400,[],[],Other,Whitefield
http://zomato.com/110,Address 110,Restaurant 110,No,Yes,3.6/5,4160,9876543210,Indiranagar,Dessert Parlor,"Pasta, Pizza",Mexican,3000,[],[],Dining,Indiranagar
http://zomato.com/111,Address 111,Restaurant 111,Yes,Yes,2.9/5,3920,9876543211,Whitefield,Cafe,"Pasta, Pizza","Beverages, Fast Food",1500,[],[],Other,Whitefield
http://zomato.com/112,Address 112,Restaurant 112,No,No,4.2/5,1497,9876543212,JP Nagar,Casual Dining,"Pasta, Pizza",Continental,400,[],[],Dining,Jayanagar
http://zomato.com/113,Address 113,Restaurant 113,No,Yes,2.7/5,3854,9876543213,Jayanagar,Delivery,"Pasta, Pizza","Fast Food, Italian, North Indian",400,[],[],Dining,Koramangala 5th Block
http://zomato.com/114,Address 114,Restaurant 114,Yes,Yes,4.1/5,3171,9876543214,HSR,Bakery,"Pasta, Pizza","South Indian, Italian, Chinese",1000,[],[],Dining,BTM
http://zomato.com/115,Address 115,Restaurant 115,No,Yes,4.9/5,1567,9876543215,Jayanagar,Bakery,"Pasta, Pizza",Mexican,400,[],[],Dining,Marathahalli
http://zomato.com/116,Address 116,Restaurant 116,Yes,Yes,3.6/5,1151,9876543216,HSR,Cafe,"Pasta, Pizza","North Indian, Desserts, South Indian",800,[],[],Other,Whitefield
http://zomato.com/117,Address 117,Restaurant 117,No,Yes,3.5/5,368,9876543217,HSR,Bakery,"Pasta, Pizza","Continental, South Indian, Fast Food",800,[],[],Other,JP Nagar
http://zomato.com/118,Address 118,Restaurant 118,No,Yes,3.5/5,4946,9876543218,Jayanagar,Delivery,"Pasta, Pizza",Fast Food,800,[],[],Other,Whitefield
http://zomato.com/119,Address 119,Restaurant 119,Yes,No,5.0/5,42,9876543219,JP Nagar,Casual Dining,"Pasta, Pizza","Desserts, Mexican",200,[],[],Cafes,Whitefield
http://zomato.com/120,Address 120,Restaurant 120,No,No,4.7/5,1907,9876543220,JP Nagar,Cafe,"Pasta, Pizza",Fast Food,1500,[],[],Other,Whitefield
http://zomato.com/121,Address 121,Restaurant 121,Yes,Yes,3.0/5,3490,9876543221,HSR,Bakery,"Pasta, Pizza","Mughlai, North Indian",1500,[],[],Other,BTM
http://zomato.com/122,Address 122,Restaurant 122,No,Yes,NEW,2535,9876543222,JP Nagar,Bakery,"Pasta, Pizza",Desserts,600,[],[],Cafes,HSR
http://zomato.com/123,Address 123,Restaurant 123,Yes,Yes,3.4/5,4173,9876543223,HSR,Delivery,"Pasta, Pizza","Chinese, South Indian, North Indian",1000,[],[],Dining,Whitefield
http://zomato.com/124,Address 124,Restaurant 124,Yes,No,3.7/5,2873,9876543224,BTM,Dessert Parlor,"Pasta, Pizza","Mughlai, Italian",800,[],[],Dining,HSR
http://zomato.com/125,Address 125,Restaurant 125,No,No,3.0/5,1824,9876543225,HSR,Dessert Parlor,"Pasta, Pizza","Mughlai, Fast Food",800,[],[],Dining,JP Nagar
http://zomato.com/126,Address 126,Restaurant 126,No,No,4.4/5,1293,9876543226,BTM,Buffet,"Pasta, Pizza","Italian, Mexican",400,[],[],Cafes,JP Nagar
http://zomato.com/127,Address 127,Restaurant 127,Yes,No,4.6/5,4769,9876543227,Indiranagar,Bakery,"Pasta, Pizza","Desserts, Beverages, Mughlai",800,[],[],Other,Whitefield
http://zomato.com/128,Address 128,Restaurant 128,No,No,4.1/5,4796,9876543228,Marathahalli,Casual Dining,"Pasta, Pizza","Italian, Chinese",400,[],[],Other,HSR
http://zomato.com/129,Address 129,Restaurant 129,No,No,2.6/5,4854,9876543229,Indiranagar,Cafe,"Pasta, Pizza","Beverages, North Indian, Fast Food",400,[],[],Other,Koramangala 5th Block
http://zomato.com/130,Address 130,Restaurant 130,No,No,4.0/5,3386,9876543230,Jayanagar,Bakery,"Pasta, Pizza",South Indian,600,[],[],Other,Whitefield
http://zomato.com/131,Address 131,Restaurant 131,Yes,No,3.7/5,2972,9876543231,Marathahalli,Quick Service Restaurant,"Pasta, Pizza",Beverages,200,[],[],Cafes,Marathahalli
http://zomato.com/132,Address 132,Restaurant 132,Yes,No,2.8/5,3922,9876543232,Koramangala 5th Block,Cafe,"Pasta, Pizza","Chinese, Mexican",400,[],[],Other,Marathahalli
http://zomato.com/133,Address 133,Restaurant 133,Yes,Yes,3.6/5,4997,9876543233,Jayanagar,Buffet,"Pasta, Pizza","North Indian, Desserts, Mughlai",400,[],[],Dining,JP Nagar
http://zomato.com/134,Address 134,Restaurant 134,Yes,Yes,3.7/5,992,9876543234,Whitefield,Dessert Parlor,"Pasta, Pizza","Mexican, Chinese",1500,[],[],Cafes,BTM
http://zomato.com/135,Address 135,Restaurant 135,Yes,Yes,NEW,2386,9876543235,Indiranagar,Bakery,"Pasta, Pizza","South Indian, Beverages, Desserts",600,[],[],Cafes,Marathahalli
http://zomato.com/136,Address 136,Restaurant 136,Yes,Yes,3.2/5,2240,9876543236,JP Nagar,Delivery,"Pasta, Pizza",South Indian,400,[],[],Dining,Marathahalli
http://zomato.com/137,Address 137,Restaurant 137,Yes,No,3.3/5,1476,9876543237,Indiranagar,Quick Service Restaurant,"Pasta, Pizza","South Indian, North Indian, Chinese",1000,[],[],Dining,Jayanagar
http://zomato.com/138,Address 138,Restaurant 138,Yes,No,2.5/5,3407,9876543238,JP Nagar,Bakery,"Pasta, Pizza","Beverages, Chinese",200,[],[],Other,Whitefield
http://zomato.com/139,Address 139,Restaurant 139,Yes,Yes,NEW,389,9876543239,Marathahalli,Buffet,"Pasta, Pizza",Fast Food,3000,[],[],Dining,Whitefield
http://zomato.com/140,Address 140,Restaurant 140,No,No,3.7/5,999,9876543240,Whitefield,Casual Dining,"Pasta, Pizza","Continental, Fast Food",1000,[],[],Cafes,Whitefield
http://zomato.com/141,Address 141,Restaurant 141,Yes,Yes,3.2/5,4620,9876543241,Marathahalli,Quick Service Restaurant,"Pasta, Pizza","Italian, South Indian, Continental",800,[],[],Cafes,Whitefield
http://zomato.com/142,Address 142,Restaurant 142,No,No,4.7/5,1855,9876543242,Whitefield,Buffet,"Pasta, Pizza","North Indian, Mughlai",200,[],[],Cafes,Indiranagar
http://zomato.com/143,Address 143,Restaurant 143,No,Yes,2.6/5,658,9876543243,Indiranagar,Bakery,"Pasta, Pizza","Chinese, Fast Food",800,[],[],Other,Whitefield
http://zomato.com/144,Address 144,Restaurant 144,No,No,2.8/5,2763,9876543244,JP Nagar,Casual Dining,"Pasta, Pizza",North Indian,1500,[],[],Other,BTM
http://zomato.com/145,Address 145,Restaurant 145,Yes,No,5.0/5,3663,9876543245,Marathahalli,Quick Service Restaurant,"Pasta, Pizza",Italian,2000,[],[],Dining,HSR
http://zomato.com/146,Address 146,Restaurant 146,Yes,Yes,3.7/5,4986,9876543246,Whitefield,Casual Dining,"Pasta, Pizza","Continental, Beverages, Mughlai",2000,[],[],Other,JP Nagar
http://zomato.com/147,Address 147,Restaurant 147,Yes,No,4.3/5,1481,9876543247,HSR,Casual Dining,"Pasta, Pizza","Mughlai, Italian, South Indian",2000,[],[],Other,HSR
